epoch,accuracy,dice_coef,jaccard_coef,loss,val_accuracy,val_dice_coef,val_jaccard_coef,val_loss
0,0.7572357058525085,0.023937825113534927,0.012215487658977509,0.9760621190071106,0.6093719005584717,0.023526735603809357,0.012009738944470882,0.9766020178794861
1,0.8697406649589539,0.03435240313410759,0.017687277868390083,0.96564781665802,0.8290674090385437,0.03612137213349342,0.01864096336066723,0.9641321301460266
2,0.9268327951431274,0.050837934017181396,0.026631344109773636,0.9491621255874634,0.8996060490608215,0.05005192384123802,0.026143165305256844,0.9502303004264832
3,0.9512145519256592,0.07285433262586594,0.03886588290333748,0.9271454811096191,0.8676575422286987,0.05687814950942993,0.029870638623833656,0.9434975981712341
4,0.9733407497406006,0.11188933998346329,0.06196162477135658,0.8881107568740845,0.9807849526405334,0.13811616599559784,0.0776585265994072,0.8625988960266113
5,0.9833051562309265,0.16907285153865814,0.09781382977962494,0.8309271931648254,0.9898833632469177,0.1639467477798462,0.09509585052728653,0.8360400199890137
6,0.9876372814178467,0.23053382337093353,0.13963408768177032,0.7694663405418396,0.9828554391860962,0.18188439309597015,0.10584861785173416,0.8188230395317078
7,0.9904474020004272,0.30472496151924133,0.19493074715137482,0.6952748894691467,0.9910552501678467,0.3224393427371979,0.2095983326435089,0.6787914633750916
8,0.9910379648208618,0.3289918005466461,0.21230190992355347,0.6710084080696106,0.9927492737770081,0.28470465540885925,0.1773037612438202,0.7160370349884033
9,0.9927657246589661,0.4166994094848633,0.28585243225097656,0.5833005309104919,0.9928665161132812,0.4424631595611572,0.31055179238319397,0.5587787628173828
10,0.9938488006591797,0.48076021671295166,0.343946635723114,0.5192397236824036,0.9934270977973938,0.46249499917030334,0.3290471136569977,0.5387985110282898
11,0.9942333102226257,0.5289053320884705,0.3882574141025543,0.47109454870224,0.9938073754310608,0.4772425889968872,0.3375992178916931,0.5239930152893066
12,0.9944502711296082,0.5562193393707275,0.413760244846344,0.44378048181533813,0.9938485622406006,0.5177600383758545,0.37552523612976074,0.4825590252876282
13,0.9946298003196716,0.5815382599830627,0.4432685375213623,0.418461412191391,0.9942918419837952,0.5530726313591003,0.41901084780693054,0.4481990337371826
14,0.9948827028274536,0.5933113694190979,0.4577120840549469,0.4066886305809021,0.9944871664047241,0.559083878993988,0.42679065465927124,0.4420335590839386
15,0.9951093792915344,0.6255307793617249,0.486625075340271,0.37446925044059753,0.9948194026947021,0.576191782951355,0.4410545825958252,0.4248828887939453
16,0.9952807426452637,0.649137020111084,0.5123336315155029,0.35086289048194885,0.9951052069664001,0.5684946179389954,0.4351732134819031,0.4328000545501709
17,0.9952684044837952,0.6550057530403137,0.5197007656097412,0.34499478340148926,0.994022011756897,0.5068778395652771,0.36918124556541443,0.49441125988960266
18,0.9949942231178284,0.6343666911125183,0.498390793800354,0.36563342809677124,0.99503493309021,0.6095539331436157,0.4684664309024811,0.3912319540977478
19,0.9951655268669128,0.6483343243598938,0.5135368704795837,0.3516656160354614,0.994929850101471,0.5837520360946655,0.44272202253341675,0.4171251952648163
20,0.9952633380889893,0.6609179973602295,0.5265119075775146,0.3390820324420929,0.9948673844337463,0.5825824737548828,0.44321197271347046,0.4182509183883667
21,0.9952114820480347,0.6683893203735352,0.5329940319061279,0.3316107988357544,0.9948684573173523,0.6374815702438354,0.5006126165390015,0.3634050190448761
22,0.9954854846000671,0.6936750411987305,0.5588023066520691,0.30632516741752625,0.99482262134552,0.5718869566917419,0.43238940834999084,0.4291379153728485
23,0.9955601096153259,0.6921132802963257,0.5603716373443604,0.30788689851760864,0.9949275255203247,0.6479988694190979,0.5134421586990356,0.3526136577129364
24,0.9957323670387268,0.7149011492729187,0.5855680704116821,0.2850987911224365,0.995112955570221,0.6485352516174316,0.5164218544960022,0.35220208764076233
25,0.9957177639007568,0.7158608436584473,0.5857123136520386,0.2841392159461975,0.9951722621917725,0.6347648501396179,0.5021157264709473,0.3660391867160797
26,0.9957106113433838,0.7197217345237732,0.5884397029876709,0.2802782654762268,0.9953231811523438,0.6354519724845886,0.5061927437782288,0.36540716886520386
27,0.9957611560821533,0.723648190498352,0.592843770980835,0.276351660490036,0.9943262934684753,0.5561732649803162,0.4105968475341797,0.44460976123809814
28,0.9958069920539856,0.7254841327667236,0.5951926708221436,0.2745163142681122,0.9954879879951477,0.6735811233520508,0.5409233570098877,0.3272237181663513
29,0.995826780796051,0.7347856760025024,0.604133665561676,0.2652140259742737,0.9956052303314209,0.6250019073486328,0.4978318214416504,0.37617647647857666
30,0.9958122968673706,0.7297443151473999,0.6015414595603943,0.2702556252479553,0.9928308129310608,0.5593460202217102,0.42711201310157776,0.44193828105926514
31,0.9958919882774353,0.7362337708473206,0.610704243183136,0.263765811920166,0.9953576326370239,0.6508004069328308,0.5154200196266174,0.3501017689704895
32,0.9959408044815063,0.747032105922699,0.6221782565116882,0.2529679834842682,0.995134711265564,0.6754180788993835,0.5416161417961121,0.32530125975608826
33,0.995927095413208,0.7445271611213684,0.6185053586959839,0.2554728388786316,0.9955987930297852,0.6769888401031494,0.5497164726257324,0.3239944577217102
34,0.9957861304283142,0.7329225540161133,0.6068587899208069,0.2670772671699524,0.9952889084815979,0.6622358560562134,0.5281800031661987,0.3384331166744232
35,0.9958921074867249,0.7451872825622559,0.6205161809921265,0.25481241941452026,0.9955255389213562,0.6925315856933594,0.5622652769088745,0.3081394135951996
36,0.9959373474121094,0.7459177374839783,0.6199336647987366,0.25408250093460083,0.9952834844589233,0.6119990348815918,0.47332316637039185,0.3890394866466522
